obs_id,species_key,scientific_name,common_name,photo_id,url,license,date_observed,latitude,longitude,quality_grade,num_agreements,source,local_path,status
352675090,circus_assimilis,Circus assimilis,Spotted Harrier,643604070,https://inaturalist-open-data.s3.amazonaws.com/photos/643604070/medium.jpg,cc-by-nc,2026-04-24,-28.9000449851,136.3012894515,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_352675090_643604070.jpg,already_exists
352554664,circus_assimilis,Circus assimilis,Spotted Harrier,643444808,https://inaturalist-open-data.s3.amazonaws.com/photos/643444808/medium.jpg,cc-by-nc,2026-04-21,-31.0009220679,136.8941608601,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_352554664_643444808.jpg,already_exists
351683347,circus_assimilis,Circus assimilis,Spotted Harrier,641814449,https://static.inaturalist.org/photos/641814449/medium.jpg,,2026-04-21,-28.071140592,152.2441174648,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_351683347_641814449.jpg,already_exists
351645063,circus_assimilis,Circus assimilis,Spotted Harrier,641738481,https://static.inaturalist.org/photos/641738481/medium.jpg,,2026-04-21,-32.7538472222,151.5745083333,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_351645063_641738481.jpg,already_exists
351639939,circus_assimilis,Circus assimilis,Spotted Harrier,641727459,https://inaturalist-open-data.s3.amazonaws.com/photos/641727459/medium.jpg,cc-by-nc,2026-04-21,-31.2720866667,152.7585,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_351639939_641727459.jpg,already_exists
351388888,circus_assimilis,Circus assimilis,Spotted Harrier,641244659,https://inaturalist-open-data.s3.amazonaws.com/photos/641244659/medium.jpg,cc-by-nc,2026-04-20,-28.8679732997,134.6572283,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_351388888_641244659.jpg,already_exists
351035694,circus_assimilis,Circus assimilis,Spotted Harrier,640547122,https://inaturalist-open-data.s3.amazonaws.com/photos/640547122/medium.jpg,cc-by-nc,2026-04-19,-28.2590722334,152.7427528886,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_351035694_640547122.jpg,already_exists
350732280,circus_assimilis,Circus assimilis,Spotted Harrier,639980378,https://static.inaturalist.org/photos/639980378/medium.jpg,,2026-04-18,-28.256756924,153.5403668135,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_350732280_639980378.jpg,already_exists
350683450,circus_assimilis,Circus assimilis,Spotted Harrier,639881787,https://inaturalist-open-data.s3.amazonaws.com/photos/639881787/medium.jpg,cc-by-nc,2026-04-10,-27.9586428147,153.1294101001,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_350683450_639881787.jpg,already_exists
350471197,circus_assimilis,Circus assimilis,Spotted Harrier,639469894,https://inaturalist-open-data.s3.amazonaws.com/photos/639469894/medium.jpg,cc-by,2025-07-16,-25.13078622,143.14727072,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_350471197_639469894.jpg,already_exists
349879941,circus_assimilis,Circus assimilis,Spotted Harrier,638299485,https://inaturalist-open-data.s3.amazonaws.com/photos/638299485/medium.jpg,cc-by-nc,2026-04-09,-16.9668510231,145.4548876448,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_349879941_638299485.jpg,already_exists
349494253,circus_assimilis,Circus assimilis,Spotted Harrier,637558781,https://inaturalist-open-data.s3.amazonaws.com/photos/637558781/medium.jpg,cc-by-nc,2026-04-13,-34.7638161133,138.4848599854,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\circus_assimilis\circus_assimilis_349494253_637558781.jpg,already_exists
