obs_id,species_key,scientific_name,common_name,photo_id,url,license,date_observed,latitude,longitude,quality_grade,num_agreements,source,local_path,status
352253692,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,642921416,https://inaturalist-open-data.s3.amazonaws.com/photos/642921416/medium.jpg,cc0,2026-04-22,-33.3239392,115.6808192,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_352253692_642921416.jpg,already_exists
352235425,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,642885966,https://static.inaturalist.org/photos/642885966/medium.jpg,,2025-10-04,-26.5835356754,152.7221493342,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_352235425_642885966.jpg,already_exists
352206507,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,642832917,https://inaturalist-open-data.s3.amazonaws.com/photos/642832917/medium.jpg,cc-by,2026-04-23,-29.5088033333,153.0650028333,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_352206507_642832917.jpg,already_exists
352200199,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,642821346,https://static.inaturalist.org/photos/642821346/medium.jpg,,2026-04-23,-34.9219835592,138.5989127959,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_352200199_642821346.jpg,already_exists
352192004,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,642806216,https://inaturalist-open-data.s3.amazonaws.com/photos/642806216/medium.jpg,cc-by-nc,2026-04-23,-27.4343581684,153.1483613048,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_352192004_642806216.jpg,already_exists
352179353,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,642781958,https://inaturalist-open-data.s3.amazonaws.com/photos/642781958/medium.jpg,cc-by-nc,2026-04-22,-27.4010848,153.0830177,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_352179353_642781958.jpg,already_exists
351855955,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,642145944,https://inaturalist-open-data.s3.amazonaws.com/photos/642145944/medium.jpg,cc-by-nc,2026-04-03,-38.0265034103,144.5534857807,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_351855955_642145944.jpg,already_exists
351690934,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,641829884,https://inaturalist-open-data.s3.amazonaws.com/photos/641829884/medium.jpg,cc-by-nc,2026-04-16,-38.507561563,145.1411369763,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_351690934_641829884.jpg,already_exists
351661519,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,641771848,https://static.inaturalist.org/photos/641771848/medium.jpg,,2026-04-21,-37.9975286,144.6482444,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_351661519_641771848.jpg,already_exists
351546142,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,641540522,https://inaturalist-open-data.s3.amazonaws.com/photos/641540522/medium.jpg,cc-by,2026-04-21,-27.4546736442,153.1651077252,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_351546142_641540522.jpg,already_exists
351297103,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,641049941,https://static.inaturalist.org/photos/641049941/medium.jpg,,2026-04-20,-32.1675216667,150.8607033333,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_351297103_641049941.jpg,already_exists
351152996,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,640769958,https://inaturalist-open-data.s3.amazonaws.com/photos/640769958/medium.jpg,cc-by-nc,2026-04-19,-34.8467369722,150.6558369722,research,4,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_351152996_640769958.jpg,already_exists
351116349,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,640694790,https://inaturalist-open-data.s3.amazonaws.com/photos/640694790/medium.jpg,cc-by-nc,2023-07-16,-35.8756916667,146.7501833333,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_351116349_640694790.jpg,already_exists
351056154,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,640588971,https://inaturalist-open-data.s3.amazonaws.com/photos/640588971/medium.jpg,cc-by-nc,2026-04-19,-27.5432830532,152.9948944753,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_351056154_640588971.jpg,already_exists
351049250,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,640574147,https://inaturalist-open-data.s3.amazonaws.com/photos/640574147/medium.jpg,cc-by-nc,2026-04-19,-38.2804106595,144.4198588246,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_351049250_640574147.jpg,already_exists
351048972,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,640572551,https://static.inaturalist.org/photos/640572551/medium.jpg,,2026-04-18,-37.9859440069,144.7188079214,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_351048972_640572551.jpg,already_exists
350770753,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,640053356,https://inaturalist-open-data.s3.amazonaws.com/photos/640053356/medium.jpg,cc-by,2026-04-18,-27.9305966667,152.7843966667,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_350770753_640053356.jpg,already_exists
350755117,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,640023635,https://static.inaturalist.org/photos/640023635/medium.jpg,,2026-04-18,-38.0249888333,145.0983416667,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_350755117_640023635.jpg,already_exists
350680046,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,639874040,https://static.inaturalist.org/photos/639874040/medium.jpg,,2026-04-15,-27.4010848,153.0830177,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_350680046_639874040.jpg,already_exists
350646782,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,639809154,https://inaturalist-open-data.s3.amazonaws.com/photos/639809154/medium.jpg,cc-by-nc,2026-04-08,-33.7653466667,151.299195,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_350646782_639809154.jpg,already_exists
350497408,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,639514091,https://inaturalist-open-data.s3.amazonaws.com/photos/639514091/medium.jpg,cc-by,2026-03-28,-27.58311,152.9907733333,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_350497408_639514091.jpg,already_exists
350281950,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,639092808,https://static.inaturalist.org/photos/639092808/medium.jpg,,2026-04-05,-36.4448180564,146.0580145238,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_350281950_639092808.jpg,already_exists
350225576,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,638988285,https://static.inaturalist.org/photos/638988285/medium.jpg,,2026-04-16,-13.9539521381,131.2322765216,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_350225576_638988285.jpg,already_exists
350222013,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,638981468,https://inaturalist-open-data.s3.amazonaws.com/photos/638981468/medium.jpg,cc-by-nc,2026-04-11,-28.8057264044,153.6026679025,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_350222013_638981468.jpg,already_exists
350196479,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,638930108,https://inaturalist-open-data.s3.amazonaws.com/photos/638930108/medium.jpg,cc-by-nc,2026-04-14,-33.3301877,149.0872688,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_350196479_638930108.jpg,already_exists
350146564,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,638827476,https://inaturalist-open-data.s3.amazonaws.com/photos/638827476/medium.jpg,cc-by-nc,2026-04-16,-33.8329839045,151.229988358,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_350146564_638827476.jpg,already_exists
349941689,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,638428900,https://inaturalist-open-data.s3.amazonaws.com/photos/638428900/medium.jpg,cc-by-nc,2026-04-15,-37.9959382997,145.0709289,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349941689_638428900.jpg,already_exists
349939235,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,638424288,https://static.inaturalist.org/photos/638424288/medium.jpg,,2026-04-15,-37.9959916667,145.0709221667,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349939235_638424288.jpg,already_exists
349914654,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,638374671,https://static.inaturalist.org/photos/638374671/medium.jpg,,2026-04-14,-27.6899166667,152.6301694444,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349914654_638374671.jpg,already_exists
349895838,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,638338146,https://static.inaturalist.org/photos/638338146/medium.jpg,,2025-08-19,-36.1309570759,144.44095999,research,4,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349895838_638338146.jpg,already_exists
349749435,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,638056261,https://inaturalist-open-data.s3.amazonaws.com/photos/638056261/medium.jpg,cc-by-nc,2026-04-13,-34.5817870437,150.7149467363,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349749435_638056261.jpg,already_exists
349726696,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,638014725,https://static.inaturalist.org/photos/638014725/medium.jpg,,2026-04-14,-38.2925936653,145.0601094002,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349726696_638014725.jpg,already_exists
349497362,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,637565493,https://inaturalist-open-data.s3.amazonaws.com/photos/637565493/medium.jpg,cc-by-nc,2026-04-13,-37.9134478679,145.2312434957,research,4,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349497362_637565493.jpg,already_exists
349465506,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,637461164,https://inaturalist-open-data.s3.amazonaws.com/photos/637461164/medium.jpg,cc-by-nc,2026-04-06,-28.098802186,153.4609472413,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349465506_637461164.jpg,already_exists
349459613,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,637490040,https://inaturalist-open-data.s3.amazonaws.com/photos/637490040/medium.jpg,cc-by-nc,2026-04-13,-25.3325,152.7967,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349459613_637490040.jpg,already_exists
349453168,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,637477250,https://inaturalist-open-data.s3.amazonaws.com/photos/637477250/medium.jpg,cc-by-nc,2026-04-13,-25.5287,152.6966,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349453168_637477250.jpg,already_exists
349442381,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,637434479,https://inaturalist-open-data.s3.amazonaws.com/photos/637434479/medium.jpg,cc-by-nc,2026-04-10,-27.9789946155,152.2902593693,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349442381_637434479.jpg,already_exists
349442264,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,637433197,https://inaturalist-open-data.s3.amazonaws.com/photos/637433197/medium.jpg,cc-by-nc,2026-04-07,-27.9791082245,152.2909181753,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349442264_637433197.jpg,already_exists
349442233,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,637432739,https://inaturalist-open-data.s3.amazonaws.com/photos/637432739/medium.jpg,cc-by-nc,2026-04-06,-27.9786275469,152.2907228071,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349442233_637432739.jpg,already_exists
349398557,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,637361822,https://inaturalist-open-data.s3.amazonaws.com/photos/637361822/medium.jpg,cc-by-nc,2026-04-13,-33.7435216667,151.3064116667,research,4,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349398557_637361822.jpg,already_exists
349230982,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,637035955,https://inaturalist-open-data.s3.amazonaws.com/photos/637035955/medium.jpg,cc-by-nc,2026-03-26,-35.3260825519,138.502698985,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349230982_637035955.jpg,already_exists
349200297,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,636953094,https://inaturalist-open-data.s3.amazonaws.com/photos/636953094/medium.jpg,cc-by-nc,2026-04-10,-27.9794382713,152.290890416,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349200297_636953094.jpg,already_exists
349197505,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,636973308,https://inaturalist-open-data.s3.amazonaws.com/photos/636973308/medium.jpg,cc-by-nc,2026-04-12,-37.8832755091,144.7682791555,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349197505_636973308.jpg,already_exists
349127323,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,636829950,https://inaturalist-open-data.s3.amazonaws.com/photos/636829950/medium.jpg,cc-by-nc,2026-04-12,-38.2308866667,144.3932633333,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_349127323_636829950.jpg,already_exists
348959047,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,636505512,https://inaturalist-open-data.s3.amazonaws.com/photos/636505512/medium.jpg,cc-by-nc,2026-03-28,-35.836942792,139.3614610798,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_348959047_636505512.jpg,already_exists
348920618,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,636425062,https://inaturalist-open-data.s3.amazonaws.com/photos/636425062/medium.jpg,cc-by-nc,2018-08-09,-37.7820339641,144.9456147004,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_348920618_636425062.jpg,already_exists
348907073,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,636407915,https://inaturalist-open-data.s3.amazonaws.com/photos/636407915/medium.jpg,cc-by-nc,2026-04-11,-34.6552235897,138.6505434369,research,5,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_348907073_636407915.jpg,already_exists
348894563,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,636382223,https://static.inaturalist.org/photos/636382223/medium.jpg,,2026-02-28,-27.7234766667,153.3403032778,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_348894563_636382223.jpg,already_exists
348723142,elanus_axillaris,Elanus axillaris,Black-shouldered Kite,636021744,https://inaturalist-open-data.s3.amazonaws.com/photos/636021744/medium.jpg,cc-by-nc,2026-04-03,-28.4097167244,151.2695105097,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\elanus_axillaris\elanus_axillaris_348723142_636021744.jpg,already_exists
