obs_id,species_key,scientific_name,common_name,photo_id,url,license,date_observed,latitude,longitude,quality_grade,num_agreements,source,local_path,status
352675059,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,643603837,https://inaturalist-open-data.s3.amazonaws.com/photos/643603837/medium.jpg,cc-by-nc,2026-04-24,-28.9075788071,136.3392379734,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_352675059_643603837.jpg,already_exists
352675041,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,643603766,https://inaturalist-open-data.s3.amazonaws.com/photos/643603766/medium.jpg,cc-by-nc,2026-04-24,-28.9076705614,136.3391118934,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_352675041_643603766.jpg,already_exists
352602405,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,643517377,https://static.inaturalist.org/photos/643517377/medium.jpg,,2026-04-24,-23.1427903,113.7697608,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_352602405_643517377.jpg,already_exists
352571117,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,643474749,https://inaturalist-open-data.s3.amazonaws.com/photos/643474749/medium.jpg,cc-by-nc,2026-04-20,-35.0744971667,138.49568,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_352571117_643474749.jpg,already_exists
352538847,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,643432199,https://static.inaturalist.org/photos/643432199/medium.jpg,,2021-03-29,-30.8645347882,138.5092258936,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_352538847_643432199.jpg,already_exists
352482042,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,643345394,https://inaturalist-open-data.s3.amazonaws.com/photos/643345394/medium.jpg,cc-by-nc-sa,2026-04-19,-36.1318451517,141.9348496167,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_352482042_643345394.jpg,already_exists
352210011,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,642839612,https://inaturalist-open-data.s3.amazonaws.com/photos/642839612/medium.jpg,cc-by-nc,2026-04-23,-19.7598866667,120.6722716667,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_352210011_642839612.jpg,already_exists
352127804,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,642675117,https://inaturalist-open-data.s3.amazonaws.com/photos/642675117/medium.jpg,cc-by-nc,2026-04-19,-29.6728439805,151.1262664996,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_352127804_642675117.jpg,already_exists
351978130,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,642379649,https://inaturalist-open-data.s3.amazonaws.com/photos/642379649/medium.jpg,cc-by-nc,2023-08-07,-36.0926833333,146.9413888889,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351978130_642379649.jpg,already_exists
351917335,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,642272275,https://inaturalist-open-data.s3.amazonaws.com/photos/642272275/medium.jpg,cc-by-nc,2026-04-22,-19.989745,119.7899283333,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351917335_642272275.jpg,already_exists
351896831,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,642232122,https://inaturalist-open-data.s3.amazonaws.com/photos/642232122/medium.jpg,cc-by-nc,2026-04-19,-27.4344022015,153.5447644931,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351896831_642232122.jpg,already_exists
351711203,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641870212,https://inaturalist-open-data.s3.amazonaws.com/photos/641870212/medium.jpg,cc-by-nc,2026-04-21,-17.190975998,145.4694255268,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351711203_641870212.jpg,already_exists
351699827,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641847518,https://inaturalist-open-data.s3.amazonaws.com/photos/641847518/medium.jpg,cc-by-nc,2026-04-19,-34.8795044965,149.6224772055,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351699827_641847518.jpg,already_exists
351699825,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641847377,https://inaturalist-open-data.s3.amazonaws.com/photos/641847377/medium.jpg,cc-by-nc,2026-04-19,-35.1842725853,149.3987137207,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351699825_641847377.jpg,already_exists
351699813,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641845881,https://inaturalist-open-data.s3.amazonaws.com/photos/641845881/medium.jpg,cc-by-nc,2026-04-19,-34.8700428442,149.6444161265,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351699813_641845881.jpg,already_exists
351699810,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641845815,https://inaturalist-open-data.s3.amazonaws.com/photos/641845815/medium.jpg,cc-by-nc,2026-04-19,-34.8053575243,149.6883371237,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351699810_641845815.jpg,already_exists
351665506,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641780399,https://inaturalist-open-data.s3.amazonaws.com/photos/641780399/medium.jpg,cc-by-nc,2026-04-21,-29.4348116667,135.018235,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351665506_641780399.jpg,already_exists
351646551,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641740926,https://inaturalist-open-data.s3.amazonaws.com/photos/641740926/medium.jpg,cc-by-nc,2026-04-21,-20.1962004997,148.4448198997,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351646551_641740926.jpg,already_exists
351617063,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641682144,https://static.inaturalist.org/photos/641682144/medium.jpg,,2026-04-21,-35.8280744741,137.2762101258,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351617063_641682144.jpg,already_exists
351614324,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641676180,https://static.inaturalist.org/photos/641676180/medium.jpg,,2026-04-21,-35.8280744741,137.2762101258,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351614324_641676180.jpg,already_exists
351604197,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641655190,https://inaturalist-open-data.s3.amazonaws.com/photos/641655190/medium.jpg,cc-by-nc,2026-04-20,-33.8550620544,151.2854084007,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351604197_641655190.jpg,already_exists
351595853,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641638827,https://inaturalist-open-data.s3.amazonaws.com/photos/641638827/medium.jpg,cc-by-nc,2026-04-21,-33.6998213997,150.1939651,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351595853_641638827.jpg,already_exists
351447302,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641357029,https://inaturalist-open-data.s3.amazonaws.com/photos/641357029/medium.jpg,cc-by-nc,2026-04-15,-27.820428765,114.1122899204,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351447302_641357029.jpg,already_exists
351446425,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641355508,https://inaturalist-open-data.s3.amazonaws.com/photos/641355508/medium.jpg,cc-by-nc,2026-04-19,-32.023429146,115.5283011496,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351446425_641355508.jpg,already_exists
351438348,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641339445,https://inaturalist-open-data.s3.amazonaws.com/photos/641339445/medium.jpg,cc-by-nc,2026-04-19,-19.2499783333,146.82425,research,4,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351438348_641339445.jpg,already_exists
351425882,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641310618,https://inaturalist-open-data.s3.amazonaws.com/photos/641310618/medium.jpg,cc-by-nc,2023-07-24,-35.9400888889,146.8453583333,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351425882_641310618.jpg,already_exists
351418349,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641300299,https://inaturalist-open-data.s3.amazonaws.com/photos/641300299/medium.jpg,cc-by-nc,2026-04-20,-32.3580267,149.9641989,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351418349_641300299.jpg,already_exists
351416831,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641297009,https://inaturalist-open-data.s3.amazonaws.com/photos/641297009/medium.jpg,cc-by-nc,2026-04-18,-28.57028,153.46471,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351416831_641297009.jpg,already_exists
351400068,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641262815,https://inaturalist-open-data.s3.amazonaws.com/photos/641262815/medium.jpg,cc-by-nc,2026-04-20,-36.2532498668,140.0534781287,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351400068_641262815.jpg,already_exists
351396475,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641257068,https://inaturalist-open-data.s3.amazonaws.com/photos/641257068/medium.jpg,cc-by-nc,2026-04-20,-28.9058333333,134.828705,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351396475_641257068.jpg,already_exists
351396345,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641256755,https://inaturalist-open-data.s3.amazonaws.com/photos/641256755/medium.jpg,cc-by-nc,2026-04-20,-28.9057088889,134.8284486111,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351396345_641256755.jpg,already_exists
351395513,falco_cenchroides,Falco cenchroides,Nankeen Kestrel,641254667,https://inaturalist-open-data.s3.amazonaws.com/photos/641254667/medium.jpg,cc-by-nc,2026-04-20,-28.8651266667,134.66281,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_cenchroides\falco_cenchroides_351395513_641254667.jpg,already_exists
