obs_id,species_key,scientific_name,common_name,photo_id,url,license,date_observed,latitude,longitude,quality_grade,num_agreements,source,local_path,status
352463839,falco_peregrinus,Falco peregrinus,Peregrine Falcon,643313232,https://inaturalist-open-data.s3.amazonaws.com/photos/643313232/medium.jpg,cc-by-nc,2026-04-24,-34.8791595132,138.4538048045,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_352463839_643313232.jpg,already_exists
352397614,falco_peregrinus,Falco peregrinus,Peregrine Falcon,643188777,https://inaturalist-open-data.s3.amazonaws.com/photos/643188777/medium.jpg,cc-by-nc,2025-12-16,-36.8946608905,149.9075395228,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_352397614_643188777.jpg,already_exists
352215678,falco_peregrinus,Falco peregrinus,Peregrine Falcon,642848872,https://static.inaturalist.org/photos/642848872/medium.jpg,,2026-04-15,-38.4338874102,141.5432023569,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_352215678_642848872.jpg,already_exists
351940236,falco_peregrinus,Falco peregrinus,Peregrine Falcon,642314740,https://inaturalist-open-data.s3.amazonaws.com/photos/642314740/medium.jpg,cc-by-nc-nd,2025-05-06,-38.2905168996,144.5007079289,research,4,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_351940236_642314740.jpg,already_exists
351844098,falco_peregrinus,Falco peregrinus,Peregrine Falcon,642123136,https://inaturalist-open-data.s3.amazonaws.com/photos/642123136/medium.jpg,cc-by-nc,2026-04-21,-33.3959258231,115.8579317181,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_351844098_642123136.jpg,already_exists
351834487,falco_peregrinus,Falco peregrinus,Peregrine Falcon,642104379,https://inaturalist-open-data.s3.amazonaws.com/photos/642104379/medium.jpg,cc-by-nc,2026-04-22,-37.021373357,145.1578886676,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_351834487_642104379.jpg,already_exists
351277163,falco_peregrinus,Falco peregrinus,Peregrine Falcon,640999930,https://inaturalist-open-data.s3.amazonaws.com/photos/640999930/medium.jpg,cc-by-nc,2025-11-24,-27.2795760879,152.8513133374,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_351277163_640999930.jpg,already_exists
351101753,falco_peregrinus,Falco peregrinus,Peregrine Falcon,640671709,https://inaturalist-open-data.s3.amazonaws.com/photos/640671709/medium.jpg,cc-by-nc,2011-12-14,-38.4907746499,144.8915932685,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_351101753_640671709.jpg,already_exists
350756692,falco_peregrinus,Falco peregrinus,Peregrine Falcon,640025207,https://static.inaturalist.org/photos/640025207/medium.jpg,,2026-04-06,-28.0169883333,153.335615,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_350756692_640025207.jpg,already_exists
350691792,falco_peregrinus,Falco peregrinus,Peregrine Falcon,639894685,https://inaturalist-open-data.s3.amazonaws.com/photos/639894685/medium.jpg,cc-by-nc,2015-01-04,-24.0277095651,133.980348761,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_350691792_639894685.jpg,already_exists
350395734,falco_peregrinus,Falco peregrinus,Peregrine Falcon,639316159,https://inaturalist-open-data.s3.amazonaws.com/photos/639316159/medium.jpg,cc-by-nc,2026-04-17,-26.6761257663,153.1155189872,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_350395734_639316159.jpg,already_exists
350378858,falco_peregrinus,Falco peregrinus,Peregrine Falcon,639281009,https://inaturalist-open-data.s3.amazonaws.com/photos/639281009/medium.jpg,cc-by-nc,2026-04-17,-37.84024,144.9272063997,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_350378858_639281009.jpg,already_exists
350005752,falco_peregrinus,Falco peregrinus,Peregrine Falcon,638553665,https://static.inaturalist.org/photos/638553665/medium.jpg,,2026-04-15,-32.93430498,151.6892257935,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\falco_peregrinus\falco_peregrinus_350005752_638553665.jpg,already_exists
