obs_id,species_key,scientific_name,common_name,photo_id,url,license,date_observed,latitude,longitude,quality_grade,num_agreements,source,local_path,status
353176152,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,644458945,https://inaturalist-open-data.s3.amazonaws.com/photos/644458945/medium.jpg,cc-by-nc,2026-04-25,-37.9554333333,144.3989116667,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_353176152_644458945.jpg,already_exists
353097984,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,644314872,https://inaturalist-open-data.s3.amazonaws.com/photos/644314872/medium.jpg,cc-by-nc,2026-04-24,-35.0994522459,139.1473873771,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_353097984_644314872.jpg,already_exists
352482165,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,643342495,https://inaturalist-open-data.s3.amazonaws.com/photos/643342495/medium.jpg,cc-by-nc,2026-04-24,-37.0479887946,143.7217407924,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_352482165_643342495.jpg,already_exists
351939558,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,642313068,https://inaturalist-open-data.s3.amazonaws.com/photos/642313068/medium.jpg,cc-by-nc-nd,2025-05-06,-38.3074361788,144.3716128799,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_351939558_642313068.jpg,already_exists
351917266,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,642272093,https://inaturalist-open-data.s3.amazonaws.com/photos/642272093/medium.jpg,cc-by-nc,2024-05-20,-35.2986547942,149.158242087,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_351917266_642272093.jpg,already_exists
351892984,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,642224200,https://inaturalist-open-data.s3.amazonaws.com/photos/642224200/medium.jpg,cc-by-nc,2026-04-22,-37.6822914691,145.0352480426,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_351892984_642224200.jpg,already_exists
351670659,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,641791194,https://inaturalist-open-data.s3.amazonaws.com/photos/641791194/medium.jpg,cc0,2026-04-21,-38.1912534285,144.5096706513,research,5,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_351670659_641791194.jpg,already_exists
350754413,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,640021922,https://inaturalist-open-data.s3.amazonaws.com/photos/640021922/medium.jpg,cc-by-nc-sa,2026-04-17,-34.8321011176,138.5458334787,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_350754413_640021922.jpg,already_exists
350436960,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,639400655,https://inaturalist-open-data.s3.amazonaws.com/photos/639400655/medium.jpg,cc-by-nc,2026-03-29,-31.6357334,115.7649914,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_350436960_639400655.jpg,already_exists
349939406,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,638423131,https://inaturalist-open-data.s3.amazonaws.com/photos/638423131/medium.jpg,cc-by-nc,2026-04-08,-35.4412746817,142.8236601629,research,5,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_349939406_638423131.jpg,already_exists
349756700,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,638068358,https://static.inaturalist.org/photos/638068358/medium.jpg,,2026-03-20,-38.0842333333,145.1431066667,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_349756700_638068358.jpg,already_exists
349721542,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,638005108,https://inaturalist-open-data.s3.amazonaws.com/photos/638005108/medium.jpg,cc-by-nc,2026-04-13,-35.8885869571,150.0738946348,research,4,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_349721542_638005108.jpg,already_exists
349681725,hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle,637923387,https://static.inaturalist.org/photos/637923387/medium.jpg,,2026-04-07,-33.5586164041,150.8192057687,research,3,iNaturalist,C:\Projects\raptor_australia\dataset\raw\hieraaetus_morphnoides\hieraaetus_morphnoides_349681725_637923387.jpg,already_exists
