obs_id,species_key,scientific_name,common_name,photo_id,url,license,date_observed,latitude,longitude,quality_grade,num_agreements,source,local_path,status
352649796,tachyspiza_fasciata,Tachyspiza fasciata,Brown Goshawk,643574586,https://inaturalist-open-data.s3.amazonaws.com/photos/643574586/medium.jpg,cc-by-sa,2026-04-24,-37.8977952018,145.3548776294,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\tachyspiza_fasciata\tachyspiza_fasciata_352649796_643574586.jpg,already_exists
352479071,tachyspiza_fasciata,Tachyspiza fasciata,Brown Goshawk,643341290,https://inaturalist-open-data.s3.amazonaws.com/photos/643341290/medium.jpg,cc-by-nc,2026-04-23,-37.6964101078,144.905841351,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\tachyspiza_fasciata\tachyspiza_fasciata_352479071_643341290.jpg,already_exists
352434652,tachyspiza_fasciata,Tachyspiza fasciata,Brown Goshawk,643258616,https://inaturalist-open-data.s3.amazonaws.com/photos/643258616/medium.jpg,cc-by-nc,2025-09-28,-32.6498133333,150.9882966667,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\tachyspiza_fasciata\tachyspiza_fasciata_352434652_643258616.jpg,already_exists
351927085,tachyspiza_fasciata,Tachyspiza fasciata,Brown Goshawk,642289554,https://static.inaturalist.org/photos/642289554/medium.jpg,,2023-01-15,-32.7144792175,151.5453699231,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\tachyspiza_fasciata\tachyspiza_fasciata_351927085_642289554.jpg,already_exists
351917501,tachyspiza_fasciata,Tachyspiza fasciata,Brown Goshawk,642272577,https://inaturalist-open-data.s3.amazonaws.com/photos/642272577/medium.jpg,cc-by-nc,2026-04-22,-36.5911630167,140.5047257245,research,2,iNaturalist,C:\Projects\raptor_australia\dataset\raw\tachyspiza_fasciata\tachyspiza_fasciata_351917501_642272577.jpg,already_exists
351897083,tachyspiza_fasciata,Tachyspiza fasciata,Brown Goshawk,642233641,https://inaturalist-open-data.s3.amazonaws.com/photos/642233641/medium.jpg,cc-by-nc,2026-04-22,-37.7921516667,144.8254066667,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\tachyspiza_fasciata\tachyspiza_fasciata_351897083_642233641.jpg,already_exists
351656783,tachyspiza_fasciata,Tachyspiza fasciata,Brown Goshawk,641751903,https://inaturalist-open-data.s3.amazonaws.com/photos/641751903/medium.jpg,cc-by,2026-04-21,-27.5198927118,153.1041001473,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\tachyspiza_fasciata\tachyspiza_fasciata_351656783_641751903.jpg,already_exists
351411613,tachyspiza_fasciata,Tachyspiza fasciata,Brown Goshawk,641285441,https://inaturalist-open-data.s3.amazonaws.com/photos/641285441/medium.jpg,cc-by-nc,2026-04-20,-27.0689060544,152.8956285405,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\tachyspiza_fasciata\tachyspiza_fasciata_351411613_641285441.jpg,already_exists
351403166,tachyspiza_fasciata,Tachyspiza fasciata,Brown Goshawk,641256935,https://inaturalist-open-data.s3.amazonaws.com/photos/641256935/medium.jpg,cc-by,2026-04-20,-27.708880356,153.2325184311,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\tachyspiza_fasciata\tachyspiza_fasciata_351403166_641256935.jpg,already_exists
351403037,tachyspiza_fasciata,Tachyspiza fasciata,Brown Goshawk,641254502,https://inaturalist-open-data.s3.amazonaws.com/photos/641254502/medium.jpg,cc-by,2026-04-20,-27.7073985846,153.229049481,research,1,iNaturalist,C:\Projects\raptor_australia\dataset\raw\tachyspiza_fasciata\tachyspiza_fasciata_351403037_641254502.jpg,already_exists
